"","city","lat","lng","country"
"518","Makassar",-5.1331,119.4136,"Indonesia"
"519","Santiago",19.45,-70.7,"Dominican Republic"
"520","Prague",50.0833,14.4167,"Czechia"
"521","Rājkot",22.2969,70.7984,"India"
"522","Liangshi",27.2578,111.7351,"China"
"523","Córdoba",-31.4167,-64.1833,"Argentina"
"524","Guarulhos",-23.4667,-46.5333,"Brazil"
"525","Al Başrah",30.515,47.81,"Iraq"
"526","Saitama",35.8617,139.6453,"Japan"
"527","Juárez",31.7386,-106.487,"Mexico"
"528","Montevideo",-34.8667,-56.1667,"Uruguay"
"529","Xintai",35.91,117.78,"China"
"530","Wusong",30.9333,117.7667,"China"
"531","Meerut",28.99,77.7,"India"
"532","Yushu",44.8249,126.5451,"China"
"533","Rongcheng",26.2312,104.0966,"China"
"534","Huazhou",21.654,110.6294,"China"
"535","Yangquan",37.8576,113.5762,"China"
"536","Adelaide",-34.9275,138.6,"Australia"
"537","Baishan",41.9377,126.4179,"China"
"538","Dayan",26.8808,100.2208,"China"
"539","Haicheng",40.8523,122.7474,"China"
"540","Jiangyin",31.9087,120.2653,"China"
"541","Huaiyin",33.5819,119.028,"China"
"542","Wuzhong",37.9874,106.1919,"China"
"543","Cacuaco",-8.7833,13.3667,"Angola"
"544","Barranquilla",10.9639,-74.7964,"Colombia"
"545","Sofia",42.6979,23.3217,"Bulgaria"
"546","Soweto",-26.2678,27.8586,"South Africa"
"547","Jabalpur",23.1667,79.9333,"India"
"548","Rucheng",32.3852,120.5634,"China"
"549","Nizhniy Novgorod",56.3269,44.0075,"Russia"
"550","Shaoyang",32.9387,119.8404,"China"
"551","Dhanbād",23.7928,86.435,"India"
"552","Comayagüela",14.0833,-87.2167,"Honduras"
"553","Laiwu",36.1833,117.6667,"China"
"554","Sharjah",25.3575,55.3919,"United Arab Emirates"
"555","Jingling",30.6667,113.1667,"China"
"556","Kazan",55.7908,49.1144,"Russia"
"557","Suwon",37.2858,127.01,"South Korea"
"558","Yongcheng",33.9317,116.4459,"China"
"559","Calgary",51.05,-114.0667,"Canada"
"560","Cần Thơ",10.0333,105.7833,"Vietnam"
"561","Abuja",9.0556,7.4914,"Nigeria"
"562","Mandalay",21.9831,96.0844,"Myanmar"
"563","Beidao",34.602,105.918,"China"
"564","Xiangshui",26.5964,104.8314,"China"
"565","Dadukou",26.5849,101.7149,"China"
"566","Vila Velha",3.2167,-51.2167,"Brazil"
"567","Chelyabinsk",55.15,61.4,"Russia"
"568","Mombasa",-4.05,39.6667,"Kenya"
"569","Providence",41.823,-71.4187,"United States"
"570","Vārānasi",25.3189,83.0128,"India"
"571","Qom",34.64,50.8764,"Iran"
"572","Zhangye",38.9355,100.4553,"China"
"573","Hiroshima",34.4,132.45,"Japan"
"574","Maiduguri",11.8333,13.15,"Nigeria"
